ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-01,8168.4454648,6911.6678725447855,9179.337398775622,8168.4454648,8168.4454648,-98.4542447486058,-98.4542447486058,-98.4542447486058,-98.4542447486058,-98.4542447486058,-98.4542447486058,0.0,0.0,0.0,8069.9912200513945
2021-02-01,8098.554128589586,6080.195578603246,8252.657001542604,8098.554128589586,8098.554128589586,-971.9684044176853,-971.9684044176853,-971.9684044176853,-971.9684044176853,-971.9684044176853,-971.9684044176853,0.0,0.0,0.0,7126.5857241719
2021-03-01,8035.426469801269,7703.765082131146,9842.579887583795,8035.426469801269,8035.426469801269,732.1583873789922,732.1583873789922,732.1583873789922,732.1583873789922,732.1583873789922,732.1583873789922,0.0,0.0,0.0,8767.584857180262
2021-04-01,7965.535132920498,6209.910923698153,8330.671612005828,7965.535132920498,7965.535132920498,-646.9804097305489,-646.9804097305489,-646.9804097305489,-646.9804097305489,-646.9804097305489,-646.9804097305489,0.0,0.0,0.0,7318.554723189949
2021-05-01,7897.898355856513,7259.692894392128,9363.079163666982,7897.898355856513,7897.898355856513,355.678726951522,355.678726951522,355.678726951522,355.678726951522,355.678726951522,355.678726951522,0.0,0.0,0.0,8253.577082808035
2021-06-01,7828.007019812783,5820.765681335727,7880.903887663014,7828.007019812783,7828.007019812783,-985.4465549367163,-985.4465549367163,-985.4465549367163,-985.4465549367163,-985.4465549367163,-985.4465549367163,0.0,0.0,0.0,6842.560464876067
2021-07-01,7760.3702433613325,6839.681396790342,8944.81534780306,7760.3702433613325,7760.3702433613325,177.7830656184454,177.7830656184454,177.7830656184454,177.7830656184454,177.7830656184454,177.7830656184454,0.0,0.0,0.0,7938.153308979778
2021-08-01,7690.478907904158,6734.837239075631,8979.830489436283,7690.478907904158,7690.478907904158,182.09237088472565,182.09237088472565,182.09237088472565,182.09237088472565,182.09237088472565,182.09237088472565,0.0,0.0,0.0,7872.571278788884
2021-09-01,7620.587572446984,6123.874335889067,8324.23895176541,7620.587572446984,7620.587572446984,-463.9665094762461,-463.9665094762461,-463.9665094762461,-463.9665094762461,-463.9665094762461,-463.9665094762461,0.0,0.0,0.0,7156.621062970738
2021-10-01,7552.980464131078,6404.291349969973,8536.947230030013,7552.980464131078,7552.980464131078,-42.16814829416384,-42.16814829416384,-42.16814829416384,-42.16814829416384,-42.16814829416384,-42.16814829416384,0.0,0.0,0.0,7510.812315836914
2021-11-01,7483.119785808052,7201.244752802339,9476.81960220848,7483.119785808052,7483.119785808052,810.2167481831801,810.2167481831801,810.2167481831801,810.2167481831801,810.2167481831801,810.2167481831801,0.0,0.0,0.0,8293.336533991232
2021-12-01,7415.512677912755,6915.875594559496,9109.84361394784,7415.512677912755,7415.512677912755,650.5521424769212,650.5521424769212,650.5521424769212,650.5521424769212,650.5521424769212,650.5521424769212,0.0,0.0,0.0,8066.064820389676
2022-01-01,7345.652000113477,6056.344285785092,8292.963193815698,7345.652000113477,7345.652000113477,-114.28705147756733,-114.28705147756733,-114.28705147756733,-114.28705147756733,-114.28705147756733,-114.28705147756733,0.0,0.0,0.0,7231.364948635909
2022-02-01,7275.7913234902635,5299.513319385067,7428.668244243292,7275.7913234902635,7275.7913234902635,-927.841005810891,-927.841005810891,-927.841005810891,-927.841005810891,-927.841005810891,-927.841005810891,0.0,0.0,0.0,6347.950317679372
2022-03-01,7212.69637199358,6864.8885905415345,8957.738338009203,7212.69637199358,7212.69637199358,704.3394501987109,704.3394501987109,704.3394501987109,704.3394501987109,704.3394501987109,704.3394501987109,0.0,0.0,0.0,7917.035822192291
2022-04-01,7142.954868277327,5489.1741433199,7558.694552830501,7142.954868277327,7142.954868277327,-643.8826793132083,-643.8826793132083,-643.8826793132083,-643.8826793132083,-643.8826793132083,-643.8826793132083,0.0,0.0,0.0,6499.072188964118
2022-05-01,7075.527077483227,6422.922039411345,8467.323408640275,7075.527077483227,7075.527077483227,371.94189305868986,371.94189305868986,371.94189305868986,371.94189305868986,371.94189305868986,371.94189305868986,0.0,0.0,0.0,7447.468970541917
2022-06-01,7005.93683835323,4884.426430271023,7005.946802790288,7005.93683835323,7005.93683835323,-999.0992722823979,-999.0992722823979,-999.0992722823979,-999.0992722823979,-999.0992722823979,-999.0992722823979,0.0,0.0,0.0,6006.8375660708325
2022-07-01,6938.59799070731,5947.945041401077,8123.500046564132,6938.59799070731,6938.59799070731,156.71648410540982,156.71648410540982,156.71648410540982,156.71648410540982,156.71648410540982,156.71648410540982,0.0,0.0,0.0,7095.31447481272
